,Repository,Forks,avg_grade,Correlation
266,klaxon,124,0.05514705882352941,-0.07007988161557654
267,lc3ide,1,0.007317073170731707,-0.07007988161557654
268,tapsterbot,103,3.3643903948897156e-05,-0.07007988161557654
269,rust-magickwand,0,0.2429305912596401,-0.07007988161557654
270,jr1,0,0.04285714285714286,-0.07007988161557654
271,bo-ios,0,0.08884501480750247,-0.07007988161557654
272,highlow,0,0.004469987228607918,-0.07007988161557654
273,mypaper,1,0.04431360825541291,-0.07007988161557654
274,viscosity,1,0.05702167766258247,-0.07007988161557654
275,perft_gpu,2,0.0007774863753882782,-0.07007988161557654
276,fugu-pass,1,0.014563106796116505,-0.07007988161557654
277,Iliwi,2,0.0013833509642769957,-0.07007988161557654
278,ada-Stopwatch,3,0.26785714285714285,-0.07007988161557654
279,rep_scala,0,0.2933458294283037,-0.07007988161557654
280,logging-annotation,2,0.06683804627249357,-0.07007988161557654
281,process-explorer,5,0.018076398362892224,-0.07007988161557654
282,software-foundations,6,0.3722800378429517,-0.07007988161557654
283,oe-core,3,7.570650997475328e-06,-0.07007988161557654
284,hector_models,47,0.03761755485893417,-0.07007988161557654
285,bfunc1,0,0.010126582278481013,-0.07007988161557654
286,jast,1,0.01824817518248175,-0.07007988161557654
287,twhgis,1,0.00020729432135497324,-0.07007988161557654
288,xilinx2,0,0.042834890965732085,-0.07007988161557654
289,aster,0,0.018107555085047047,-0.07007988161557654
290,PongProject,0,0.00038804286989432336,-0.07007988161557654
291,Pixelshop,0,0.13499498159919707,-0.07007988161557654
292,piggdSmeltScrapMetal2.1,1,0.029213483146067417,-0.07007988161557654
293,salt-states,2,0.02763819095477387,-0.07007988161557654
294,DesktopSearch,0,0.014652014652014652,-0.07007988161557654
295,licenses,1,0.013188338732068487,-0.07007988161557654
296,carousel,6,0.010996119016817595,-0.07007988161557654
297,bertha,1,0.3186657787527421,-0.07007988161557654
298,lapiswiki,1,0.05907172995780591,-0.07007988161557654
299,techgi,0,0.0004170569892335134,-0.07007988161557654
300,Frogger3.85,1,,-0.07007988161557654
301,ellihandler,3,0.09932659932659932,-0.07007988161557654
302,meta-exosense,2,0.0018958979662185454,-0.07007988161557654
303,rust-experiments,0,0.15822784810126583,-0.07007988161557654
304,hogs,0,0.11946902654867257,-0.07007988161557654
305,MIPS32,8,0.005461123626186087,-0.07007988161557654
306,mztx06a,16,0.012863913337846988,-0.07007988161557654
307,arXiv-fetcher,0,0.030357142857142853,-0.07007988161557654
308,bash,0,0.007352941176470588,-0.07007988161557654
309,SLAE32,0,0.09693877551020408,-0.07007988161557654
310,SCR,0,0.009220130618517095,-0.07007988161557654
311,ampro,1,0.017857142857142856,-0.07007988161557654
312,CGRASP.jl,4,0.31666666666666665,-0.07007988161557654
313,fpw,0,0.0005576695971657263,-0.07007988161557654
314,vDome-max,1,0.0035610950367237926,-0.07007988161557654
315,apex-utils,1,0.10650887573964496,-0.07007988161557654
316,Pentax-S5z-LED-ring,0,0.0513782991202346,-0.07007988161557654
317,limioptic,0,8.267781636075875e-05,-0.07007988161557654
318,Mandelbrot-VHDL,2,0.007627445932028836,-0.07007988161557654
319,CSS-Grammar-raku,5,0.02894736842105263,-0.07007988161557654
320,dicp,0,0.38035019455252916,-0.07007988161557654
321,grammar-julia,0,0.002577127989096766,-0.07007988161557654
322,Curvelet.jl,7,0.11796733212341198,-0.07007988161557654
323,JSON.awk,78,0.05454545454545454,-0.07007988161557654
324,kanto,0,0.011187072715972654,-0.07007988161557654
325,cachemoney,0,0.0006320772479087658,-0.07007988161557654
326,storyteller,9,0.23843416370106763,-0.07007988161557654
327,learning_coqt,0,0.07692307692307693,-0.07007988161557654
328,plagel.io,0,0.3909090909090909,-0.07007988161557654
329,spec.io,0,0.09890109890109891,-0.07007988161557654
330,hyakuman_no_kiseki,0,0.861878453038674,-0.07007988161557654
331,Pivotal,5,0.0882016036655212,-0.07007988161557654
332,forensics-research,0,0.14130434782608695,-0.07007988161557654
333,PHYS20213,0,0.0027756110244409778,-0.07007988161557654
334,kotlin-workshop,1,0.018912529550827423,-0.07007988161557654
335,vntnew,0,0.018582755203171458,-0.07007988161557654
336,android-hackabot-cad,0,0.33582200985515903,-0.07007988161557654
337,v1.pirhoo.com,0,0.01694915254237288,-0.07007988161557654
338,IntroToApexLondon2013,1,0.013966480446927373,-0.07007988161557654
339,DeleteThisRepo,1,0.5,-0.07007988161557654
340,PHYS202-S13,0,0.03982266469627441,-0.07007988161557654
341,exjobb,0,0.022222222222222223,-0.07007988161557654
342,CSP-X10,0,0.01537042729787888,-0.07007988161557654
343,packin,0,0.0005920981806437722,-0.07007988161557654
344,WingFly-Shield,3,0.001199040767386091,-0.07007988161557654
345,etc,0,0.011441647597254004,-0.07007988161557654
346,mirror-shard,3,0.011688468992248062,-0.07007988161557654
347,sw_foc_motor_control,9,0.0040007620499142695,-0.07007988161557654
348,Luanda,0,0.05892986261749819,-0.07007988161557654
349,Flux_PD,0,0.0016778523489932886,-0.07007988161557654
350,amuse,89,1.0121081876178684e-05,-0.07007988161557654
351,string-clustering,0,0.05974025974025974,-0.07007988161557654
352,KaraPlugin,0,0.005991579401921623,-0.07007988161557654
353,aule,0,0.0006040927282337839,-0.07007988161557654
354,GoogleAppsScript,0,0.0103643216080402,-0.07007988161557654
355,elixir-operators,1,0.0032948929159802307,-0.07007988161557654
356,ccsltsnp2013,0,0.05714285714285714,-0.07007988161557654
357,electricimp-nRF24L01,0,0.02413793103448276,-0.07007988161557654
358,neurlang,24,0.026555386949924126,-0.07007988161557654
359,Arduino-Project,0,0.004815225907547663,-0.07007988161557654
360,pcb,0,0.09565217391304348,-0.07007988161557654
361,agda-miscellanea,1,0.015192620727075421,-0.07007988161557654
362,makeroot,0,0.014044943820224719,-0.07007988161557654
363,phd-experiments,0,0.0018042240067923728,-0.07007988161557654
364,elixir-oop,2,0.0935672514619883,-0.07007988161557654
365,ad4julia,2,0.2621527777777778,-0.07007988161557654
366,ex_doc,261,0.0011049995088891072,-0.07007988161557654
367,PySide.jl,6,0.03125,-0.07007988161557654
368,iopackage,2,0.1889763779527559,-0.07007988161557654
369,xqiv,0,0.024563318777292578,-0.07007988161557654
370,Rtorrent-Auto-Install,115,0.0014858841010401188,-0.07007988161557654
371,moonshot-ui,1,0.04371584699453552,-0.07007988161557654
372,uvm-utest,1,0.1329243353783231,-0.07007988161557654
373,7l7w-io,0,0.18421052631578946,-0.07007988161557654
374,studies,1,0.0030302691876719417,-0.07007988161557654
375,PSGI,7,0.005978260869565218,-0.07007988161557654
376,sourcemod-huntsman-hell,0,0.0123094958968347,-0.07007988161557654
377,arpm,0,0.009905020352781548,-0.07007988161557654
378,jphiz,0,0.04681647940074907,-0.07007988161557654
379,jira-status-board,5,0.013114754098360656,-0.07007988161557654
380,system_F_sub,0,0.026821192052980135,-0.07007988161557654
381,ruby-ohai,0,0.038922155688622756,-0.07007988161557654
382,kitlogisticsweb,0,0.2,-0.07007988161557654
383,FLOP,0,0.015561569688768607,-0.07007988161557654
384,dfuw-ahk,0,0.03597122302158273,-0.07007988161557654
385,shotwell,0,0.07196969696969698,-0.07007988161557654
386,pinspect,0,0.22131147540983606,-0.07007988161557654
387,north-american-scum,0,0.7564102564102564,-0.07007988161557654
388,Smalltalk-Design-Patterns-Assignments,0,0.0,-0.07007988161557654
389,jingle_jangle,0,0.3264957264957265,-0.07007988161557654
390,gputools,33,0.026820866141732284,-0.07007988161557654
391,pixelboard,1,0.014579422934217993,-0.07007988161557654
392,TAO-GL,0,0.0258803209271228,-0.07007988161557654
393,beatbox,1,2.774325284090909e-05,-0.07007988161557654
394,books,1,0.010387040315042066,-0.07007988161557654
395,Tiny-AVR-Programmer,21,0.0022446943587883187,-0.07007988161557654
396,ld-decode,37,0.007909491389667601,-0.07007988161557654
397,Wombat_scripts,1,0.03150134048257373,-0.07007988161557654
398,pd-tools,0,0.03225806451612903,-0.07007988161557654
399,glfo,0,0.2368421052631579,-0.07007988161557654
400,buildroot-2012.11-ab,0,5.3514364784490005e-05,-0.07007988161557654
401,crystal,0,0.008597883597883597,-0.07007988161557654
402,3D-parts,35,0.0,-0.07007988161557654
403,MooX-Aliases,1,0.0273972602739726,-0.07007988161557654
404,Mini-project_in_Databases,0,0.0010328800137717334,-0.07007988161557654
405,svnbranch,0,0.09090909090909091,-0.07007988161557654
406,rust-graph,0,0.5094339622641509,-0.07007988161557654
407,rust-bson,0,0.09210526315789473,-0.07007988161557654
408,erm,1,0.10984848484848483,-0.07007988161557654
409,rajmak.wordpress.com,16,0.00024714435926701477,-0.07007988161557654
410,hard-cv,41,0.013963480128893663,-0.07007988161557654
411,christmas-carols,8,0.011235955056179775,-0.07007988161557654
412,rust-codecs,2,0.035470186189017205,-0.07007988161557654
413,lilypond-songs,3,0.00019708705335146534,-0.07007988161557654
414,tcl_exceptions,1,0.5,-0.07007988161557654
415,Maya_Tools,19,0.0004314353159984263,-0.07007988161557654
416,vlogdump,7,0.03943661971830986,-0.07007988161557654
